time, nthreads, ndatablocks, itermax, size
0.0992711, 1, 10, 1000, 1048576
call StencilImplementation
0.097358, 1, 10, 1000, 1048576
call StencilImplementation
0.0966361, 1, 10, 1000, 1048576
call StencilImplementation
0.0973589, 1, 10, 1000, 1048576
call StencilImplementation
0.120583, 1, 10, 1000, 1048576
call StencilImplementation
0.097538, 2, 10, 1000, 1048576
call StencilImplementation
0.0929711, 2, 10, 1000, 1048576
call StencilImplementation
0.118533, 2, 10, 1000, 1048576
call StencilImplementation
0.115653, 2, 10, 1000, 1048576
call StencilImplementation
0.114228, 2, 10, 1000, 1048576
call StencilImplementation
0.0998261, 3, 10, 1000, 1048576
call StencilImplementation
0.100481, 3, 10, 1000, 1048576
call StencilImplementation
0.099242, 3, 10, 1000, 1048576
call StencilImplementation
0.0974932, 3, 10, 1000, 1048576
call StencilImplementation
0.0896251, 3, 10, 1000, 1048576
call StencilImplementation
0.136203, 4, 10, 1000, 1048576
call StencilImplementation
0.136908, 4, 10, 1000, 1048576
call StencilImplementation
0.136256, 4, 10, 1000, 1048576
call StencilImplementation
0.136891, 4, 10, 1000, 1048576
call StencilImplementation
0.137639, 4, 10, 1000, 1048576
